,Actor1CountryCode,Actor1Name,GoldsteinScale,NumMentions,SQLDATE
0,LBR,ELLEN JOHNSON SIRLEAF,1.9,4,20140621
1,LBR,ELLEN JOHNSON SIRLEAF,4.0,10,20121109
2,LBR,ELLEN JOHNSON SIRLEAF,-2.0,10,20121110
3,LBR,ELLEN JOHNSON SIRLEAF,-2.0,10,20121110
4,LBR,ELLEN JOHNSON SIRLEAF,-2.0,10,20121110
5,LBR,ELLEN JOHNSON SIRLEAF,-2.0,10,20121110
6,LBR,ELLEN JOHNSON SIRLEAF,-2.0,90,20121110
7,LBR,ELLEN JOHNSON SIRLEAF,-4.4,21,20090909
8,LBR,ELLEN JOHNSON SIRLEAF,1.9,9,20090909
9,LBR,ELLEN JOHNSON SIRLEAF,4.0,5,20090909
10,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20090909
11,LBR,ELLEN JOHNSON SIRLEAF,2.8,1,20090909
12,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20090909
13,LBR,ELLEN JOHNSON SIRLEAF,2.8,4,20090909
14,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20090910
15,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20090910
16,LBR,ELLEN JOHNSON SIRLEAF,2.8,5,20090911
17,LBR,ELLEN JOHNSON SIRLEAF,-2.0,2,20090911
18,LBR,ELLEN JOHNSON SIRLEAF,-2.0,5,20090911
19,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20121022
20,LBR,ELLEN JOHNSON SIRLEAF,2.8,8,20121022
21,LBR,ELLEN JOHNSON SIRLEAF,1.9,20,20121022
22,LBR,ELLEN JOHNSON SIRLEAF,1.9,8,20121022
23,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20121022
24,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20121022
25,LBR,ELLEN JOHNSON SIRLEAF,2.8,3,20121023
26,LBR,ELLEN JOHNSON SIRLEAF,1.0,9,20110726
27,LBR,ELLEN JOHNSON SIRLEAF,3.4,9,20110727
28,LBR,ELLEN JOHNSON SIRLEAF,-2.0,7,20110729
29,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20100812
30,LBR,ELLEN JOHNSON SIRLEAF,1.0,7,20100812
31,LBR,ELLEN JOHNSON SIRLEAF,-2.0,9,20100813
32,LBR,ELLEN JOHNSON SIRLEAF,-4.0,2,20100813
33,LBR,ELLEN JOHNSON SIRLEAF,-4.0,7,20100813
34,LBR,ELLEN JOHNSON SIRLEAF,-5.0,9,20100813
35,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20100815
36,LBR,ELLEN JOHNSON SIRLEAF,1.0,7,20100815
37,LBR,ELLEN JOHNSON SIRLEAF,5.2,3,20100818
38,LBR,ELLEN JOHNSON SIRLEAF,1.9,7,20100818
39,LBR,ELLEN JOHNSON SIRLEAF,4.0,4,20100818
40,LBR,ELLEN JOHNSON SIRLEAF,-4.0,7,20100818
41,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20081119
42,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20081119
43,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20081119
44,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20081119
45,LBR,ELLEN JOHNSON SIRLEAF,7.0,10,20141103
46,LBR,ELLEN JOHNSON SIRLEAF,3.4,10,20141103
47,LBR,ELLEN JOHNSON SIRLEAF,7.0,4,20141103
48,LBR,ELLEN JOHNSON SIRLEAF,7.0,12,20141103
49,LBR,ELLEN JOHNSON SIRLEAF,7.0,6,20141103
50,LBR,ELLEN JOHNSON SIRLEAF,0.4,10,20141103
51,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20131205
52,LBR,ELLEN JOHNSON SIRLEAF,3.0,7,20131205
53,LBR,ELLEN JOHNSON SIRLEAF,3.4,3,20131205
54,LBR,ELLEN JOHNSON SIRLEAF,-2.0,10,20111005
55,LBR,ELLEN JOHNSON SIRLEAF,0.0,9,20111007
56,LBR,ELLEN JOHNSON SIRLEAF,0.0,6,20111007
57,LBR,ELLEN JOHNSON SIRLEAF,0.0,20,20111007
58,LBR,ELLEN JOHNSON SIRLEAF,0.0,3,20111007
59,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20111007
60,LBR,ELLEN JOHNSON SIRLEAF,6.0,3,20111007
61,LBR,ELLEN JOHNSON SIRLEAF,-2.0,1,20111007
62,LBR,ELLEN JOHNSON SIRLEAF,0.0,7,20111007
63,LBR,ELLEN JOHNSON SIRLEAF,0.0,1,20111007
64,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20111007
65,LBR,ELLEN JOHNSON SIRLEAF,0.4,6,20111007
66,LBR,ELLEN JOHNSON SIRLEAF,0.4,6,20111007
67,LBR,ELLEN JOHNSON SIRLEAF,0.0,2,20111007
68,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20111007
69,LBR,ELLEN JOHNSON SIRLEAF,6.0,1,20111007
70,LBR,ELLEN JOHNSON SIRLEAF,-2.0,4,20111007
71,LBR,ELLEN JOHNSON SIRLEAF,-2.0,3,20111007
72,LBR,ELLEN JOHNSON SIRLEAF,-10.0,3,20111007
73,LBR,ELLEN JOHNSON SIRLEAF,-10.0,39,20111007
74,LBR,ELLEN JOHNSON SIRLEAF,-10.0,3,20111007
75,LBR,ELLEN JOHNSON SIRLEAF,-10.0,6,20111007
76,LBR,ELLEN JOHNSON SIRLEAF,-10.0,3,20111007
77,LBR,ELLEN JOHNSON SIRLEAF,-10.0,15,20111007
78,LBR,ELLEN JOHNSON SIRLEAF,-10.0,6,20111007
79,LBR,ELLEN JOHNSON SIRLEAF,-10.0,3,20111007
80,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20111007
81,LBR,ELLEN JOHNSON SIRLEAF,3.4,5,20111007
82,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20111008
83,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20111008
84,LBR,ELLEN JOHNSON SIRLEAF,6.0,4,20111008
85,LBR,ELLEN JOHNSON SIRLEAF,-6.5,2,20111008
86,LBR,ELLEN JOHNSON SIRLEAF,-10.0,3,20111008
87,LBR,ELLEN JOHNSON SIRLEAF,3.4,7,20111008
88,LBR,ELLEN JOHNSON SIRLEAF,-4.4,3,20111009
89,LBR,ELLEN JOHNSON SIRLEAF,-4.4,3,20111009
90,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20111010
91,LBR,ELLEN JOHNSON SIRLEAF,-4.0,5,20111010
92,LBR,ELLEN JOHNSON SIRLEAF,4.0,3,20111011
93,LBR,ELLEN JOHNSON SIRLEAF,-2.0,3,20111011
94,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20111011
95,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20111011
96,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20111011
97,LBR,ELLEN JOHNSON SIRLEAF,3.4,10,20111012
98,LBR,ELLEN JOHNSON SIRLEAF,3.4,7,20111012
99,LBR,ELLEN JOHNSON SIRLEAF,-2.0,7,19870206
100,LBR,ELLEN JOHNSON SIRLEAF,5.0,1,19870225
101,LBR,ELLEN JOHNSON SIRLEAF,4.0,20,20090304
102,LBR,ELLEN JOHNSON SIRLEAF,4.0,20,20090304
103,LBR,ELLEN JOHNSON SIRLEAF,1.0,20,20090304
104,LBR,ELLEN JOHNSON SIRLEAF,1.0,16,20090304
105,LBR,ELLEN JOHNSON SIRLEAF,-5.0,3,19900601
106,LBR,ELLEN JOHNSON SIRLEAF,-10.0,9,20100430
107,LBR,ELLEN JOHNSON SIRLEAF,3.0,9,20100430
108,LBR,ELLEN JOHNSON SIRLEAF,5.2,9,20100430
109,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20100501
110,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20100501
111,LBR,ELLEN JOHNSON SIRLEAF,1.9,1,20100501
112,LBR,ELLEN JOHNSON SIRLEAF,2.8,7,20100501
